id,constraint1,constraint2,constraint3,constraint4,constraint5,probability,id_word
1356363,3,3,3,3,3,0.06614246219396591,5699
1356364,3,3,3,3,2,0.02281837724149227,5699
1356365,3,3,3,3,1,0.06275054067373276,5699
1356366,3,3,3,2,3,0.04910576716065407,5699
1356367,3,3,3,2,2,0.01641998067498207,5699
1356368,3,3,3,2,1,0.022510021924972534,5699
1356369,3,3,3,1,3,0.03245451673865318,5699
1356370,3,3,3,1,2,0.0077860006131231785,5699
1356371,3,3,3,1,1,0.027212457731366158,5699
1356372,3,3,2,3,3,0.01996608078479767,5699
1356373,3,3,2,3,2,0.004162812139838934,5699
1356374,3,3,2,3,1,0.010638297535479069,5699
1356375,3,3,2,2,3,0.01873265579342842,5699
1356376,3,3,2,2,2,0.0036231884732842445,5699
1356377,3,3,2,2,1,0.0070151095278561115,5699
1356378,3,3,2,1,3,0.021739130839705467,5699
1356379,3,3,2,1,2,0.003931544721126556,5699
1356380,3,3,2,1,1,0.004085723310709,5699
1356381,3,3,1,3,3,0.008556892164051533,5699
1356382,3,3,1,3,2,0.002775208093225956,5699
1356383,3,3,1,3,1,0.009713228791952133,5699
1356384,3,3,1,2,3,0.007708911318331957,5699
1356385,3,3,1,2,2,0.0023126734886318445,5699
1356386,3,3,1,2,1,0.0038544556591659784,5699
1356387,3,3,1,1,3,0.004008634015917778,5699
1356388,3,3,1,1,2,0.0015417822869494557,5699
1356389,3,3,1,1,1,0.003314831992611289,5699
1356390,3,2,3,3,3,0.044788774102926254,5699
1356391,3,2,3,3,2,0.012873882427811623,5699
1356392,3,2,3,3,1,0.025362318381667137,5699
1356393,3,2,3,2,3,0.02089115045964718,5699
1356394,3,2,3,2,2,0.006321307271718979,5699
1356395,3,2,3,2,1,0.006244218442589045,5699
1356396,3,2,3,1,3,0.0037002775352448225,5699
1356397,3,2,3,1,2,0.000693802023306489,5699
1356398,3,2,3,1,1,0.0019272278295829892,5699
1356399,3,2,2,3,3,0.018963921815156937,5699
1356400,3,2,2,3,2,0.0031606536358594894,5699
1356401,3,2,2,3,1,0.007708911318331957,5699
1356402,3,2,2,2,3,0.01187172345817089,5699
1356403,3,2,2,2,2,0.002081406069919467,5699
1356404,3,2,2,2,1,0.002081406069919467,5699
1356405,3,2,2,1,3,0.0019272278295829892,5699
1356406,3,2,2,1,2,0.00038544557173736393,5699
1356407,3,2,2,1,1,0.0002312673459528014,5699
1356408,3,2,1,3,3,0.006167129147797823,5699
1356409,3,2,1,3,2,0.0016188714653253555,5699
1356410,3,2,1,3,1,0.0016959605272859335,5699
1356411,3,2,1,2,3,0.0016188714653253555,5699
1356412,3,2,1,2,2,0.00038544557173736393,5699
1356413,3,2,1,2,1,0.00015417822578456253,5699
1356414,3,2,1,1,3,0.0006167129031382501,5699
1356415,3,2,1,1,2,0,5699
1356416,3,2,1,1,1,0.00030835645156912506,5699
1356417,3,1,3,3,3,0.03098982386291027,5699
1356418,3,1,3,3,2,0.008325624279677868,5699
1356419,3,1,3,3,1,0.026133209466934204,5699
1356420,3,1,3,2,3,0.006629663985222578,5699
1356421,3,1,3,2,2,0.0023126734886318445,5699
1356422,3,1,3,2,1,0.00015417822578456253,5699
1356423,3,1,3,1,3,0.010407030582427979,5699
1356424,3,1,3,1,2,0.0016959605272859335,5699
1356425,3,1,3,1,1,0.009019426070153713,5699
1356426,3,1,2,3,3,0.007092198356986046,5699
1356427,3,1,2,3,2,0.0005396237829700112,5699
1356428,3,1,2,3,1,0.003469010116532445,5699
1356429,3,1,2,2,3,0.002081406069919467,5699
1356430,3,1,2,2,2,0.0002312673459528014,5699
1356431,3,1,2,2,1,0.00007708911289228126,5699
1356432,3,1,2,1,3,0.006475485861301422,5699
1356433,3,1,2,1,2,0.0011563367443159223,5699
1356434,3,1,2,1,1,0.0007708911434747279,5699
1356435,3,1,1,3,3,0.007400555070489645,5699
1356436,3,1,1,3,2,0.0006167129031382501,5699
1356437,3,1,1,3,1,0.006244218442589045,5699
1356438,3,1,1,2,3,0.0018501387676224113,5699
1356439,3,1,1,2,2,0.00038544557173736393,5699
1356440,3,1,1,2,1,0.0002312673459528014,5699
1356441,3,1,1,1,3,0.002081406069919467,5699
1356442,3,1,1,1,2,0.00015417822578456253,5699
1356443,3,1,1,1,1,0.0010021585039794445,5699
1356444,2,3,3,3,3,0.020197348669171333,5699
1356445,2,3,3,3,2,0.011023743078112602,5699
1356446,2,3,3,3,1,0.013567684218287468,5699
1356447,2,3,3,2,3,0.012334258295595646,5699
1356448,2,3,3,2,2,0.007400555070489645,5699
1356449,2,3,3,2,1,0.007092198356986046,5699
1356450,2,3,3,1,3,0.005704594310373068,5699
1356451,2,3,3,1,2,0.0016959605272859335,5699
1356452,2,3,3,1,1,0.0030835645738989115,5699
1356453,2,3,2,3,3,0.004933703225106001,5699
1356454,2,3,2,3,2,0.0026210299693048,5699
1356455,2,3,2,3,1,0.0017730495892465115,5699
1356456,2,3,2,2,3,0.004162812139838934,5699
1356457,2,3,2,2,2,0.0012334258062765002,5699
1356458,2,3,2,2,1,0.0002312673459528014,5699
1356459,2,3,2,1,3,0.0029293864499777555,5699
1356460,2,3,2,1,2,0.00030835645156912506,5699
1356461,2,3,2,1,1,0.00015417822578456253,5699
1356462,2,3,1,3,3,0.0016188714653253555,5699
1356463,2,3,1,3,2,0.0013105149846524,5699
1356464,2,3,1,3,1,0.0009250693838112056,5699
1356465,2,3,1,2,3,0.0006167129031382501,5699
1356466,2,3,1,2,2,0.00015417822578456253,5699
1356467,2,3,1,2,1,0.00030835645156912506,5699
1356468,2,3,1,1,3,0.00038544557173736393,5699
1356469,2,3,1,1,2,0.00015417822578456253,5699
1356470,2,3,1,1,1,0,5699
1356471,2,2,3,3,3,0.009636139497160912,5699
1356472,2,2,3,3,2,0.0052420599386096,5699
1356473,2,2,3,3,1,0.004625346977263689,5699
1356474,2,2,3,2,3,0.005550416186451912,5699
1356475,2,2,3,2,2,0.0024668516125530005,5699
1356476,2,2,3,2,1,0.0014646932249888778,5699
1356477,2,2,3,1,3,0.0004625346919056028,5699
1356478,2,2,3,1,2,0.00015417822578456253,5699
1356479,2,2,3,1,1,0.00007708911289228126,5699
1356480,2,2,2,3,3,0.004085723310709,5699
1356481,2,2,2,3,2,0.001387604046612978,5699
1356482,2,2,2,3,1,0.0005396237829700112,5699
1356483,2,2,2,2,3,0.002158495131880045,5699
1356484,2,2,2,2,2,0.00030835645156912506,5699
1356485,2,2,2,2,1,0.00007708911289228126,5699
1356486,2,2,2,1,3,0.00038544557173736393,5699
1356487,2,2,2,1,2,0.00007708911289228126,5699
1356488,2,2,2,1,1,0,5699
1356489,2,2,1,3,3,0.0010021585039794445,5699
1356490,2,2,1,3,2,0.0008479802636429667,5699
1356491,2,2,1,3,1,0.00007708911289228126,5699
1356492,2,2,1,2,3,0.00007708911289228126,5699
1356493,2,2,1,2,2,0.00007708911289228126,5699
1356494,2,2,1,2,1,0,5699
1356495,2,2,1,1,3,0.00007708911289228126,5699
1356496,2,2,1,1,2,0,5699
1356497,2,2,1,1,1,0,5699
1356498,2,1,3,3,3,0.007940178737044334,5699
1356499,2,1,3,3,2,0.0026210299693048,5699
1356500,2,1,3,3,1,0.004702435806393623,5699
1356501,2,1,3,2,3,0.0009250693838112056,5699
1356502,2,1,3,2,2,0.0004625346919056028,5699
1356503,2,1,3,2,1,0.00015417822578456253,5699
1356504,2,1,3,1,3,0.0015417822869494557,5699
1356505,2,1,3,1,2,0.0002312673459528014,5699
1356506,2,1,3,1,1,0.0008479802636429667,5699
1356507,2,1,2,3,3,0.0007708911434747279,5699
1356508,2,1,2,3,2,0.00015417822578456253,5699
1356509,2,1,2,3,1,0.0005396237829700112,5699
1356510,2,1,2,2,3,0.00007708911289228126,5699
1356511,2,1,2,2,2,0,5699
1356512,2,1,2,2,1,0,5699
1356513,2,1,2,1,3,0.0010792475659400225,5699
1356514,2,1,2,1,2,0,5699
1356515,2,1,2,1,1,0.00007708911289228126,5699
1356516,2,1,1,3,3,0.0009250693838112056,5699
1356517,2,1,1,3,2,0.00015417822578456253,5699
1356518,2,1,1,3,1,0.0006167129031382501,5699
1356519,2,1,1,2,3,0.0002312673459528014,5699
1356520,2,1,1,2,2,0.00007708911289228126,5699
1356521,2,1,1,2,1,0,5699
1356522,2,1,1,1,3,0.00007708911289228126,5699
1356523,2,1,1,1,2,0,5699
1356524,1,3,3,3,3,0.006167129147797823,5699
1356525,1,3,3,3,2,0.0008479802636429667,5699
1356526,1,3,3,3,1,0.004933703225106001,5699
1356527,1,3,3,2,3,0.0051649706438183784,5699
1356528,1,3,3,2,2,0.0007708911434747279,5699
1356529,1,3,3,2,1,0.0014646932249888778,5699
1356530,1,3,3,1,3,0.0031606536358594894,5699
1356531,1,3,3,1,2,0.00015417822578456253,5699
1356532,1,3,3,1,1,0.0023897625505924225,5699
1356533,1,3,2,3,3,0.0026210299693048,5699
1356534,1,3,2,3,2,0.0002312673459528014,5699
1356535,1,3,2,3,1,0.0012334258062765002,5699
1356536,1,3,2,2,3,0.002081406069919467,5699
1356537,1,3,2,2,2,0.00007708911289228126,5699
1356538,1,3,2,2,1,0.0007708911434747279,5699
1356539,1,3,2,1,3,0.0019272278295829892,5699
1356540,1,3,2,1,2,0,5699
1356541,1,3,2,1,1,0.0002312673459528014,5699
1356542,1,3,1,3,3,0.0009250693838112056,5699
1356543,1,3,1,3,2,0.0002312673459528014,5699
1356544,1,3,1,3,1,0.0012334258062765002,5699
1356545,1,3,1,2,3,0.0005396237829700112,5699
1356546,1,3,1,2,2,0.00015417822578456253,5699
1356547,1,3,1,2,1,0.00030835645156912506,5699
1356548,1,3,1,1,3,0.00038544557173736393,5699
1356549,1,3,1,1,2,0,5699
1356550,1,3,1,1,1,0.00030835645156912506,5699
1356551,1,2,3,3,3,0.002852297155186534,5699
1356552,1,2,3,3,2,0.0002312673459528014,5699
1356553,1,2,3,3,1,0.0012334258062765002,5699
1356554,1,2,3,2,3,0.001387604046612978,5699
1356555,1,2,3,2,2,0.00030835645156912506,5699
1356556,1,2,3,2,1,0.0006167129031382501,5699
1356557,1,2,3,1,3,0.00015417822578456253,5699
1356558,1,2,3,1,2,0,5699
1356559,1,2,3,1,1,0.00007708911289228126,5699
1356560,1,2,2,3,3,0.0022355844266712666,5699
1356561,1,2,2,3,2,0.00007708911289228126,5699
1356562,1,2,2,3,1,0.0009250693838112056,5699
1356563,1,2,2,2,3,0.0007708911434747279,5699
1356564,1,2,2,2,2,0,5699
1356565,1,2,2,2,1,0.00007708911289228126,5699
1356566,1,2,2,1,3,0,5699
1356567,1,2,2,1,2,0,5699
1356568,1,2,2,1,1,0,5699
1356569,1,2,1,3,3,0.00038544557173736393,5699
1356570,1,2,1,3,2,0,5699
1356571,1,2,1,3,1,0.00007708911289228126,5699
1356572,1,2,1,2,3,0.00030835645156912506,5699
1356573,1,2,1,2,2,0,5699
1356574,1,2,1,2,1,0.00007708911289228126,5699
1356575,1,2,1,1,3,0,5699
1356576,1,2,1,1,2,0,5699
1356577,1,1,3,3,3,0.004162812139838934,5699
1356578,1,1,3,3,2,0.00038544557173736393,5699
1356579,1,1,3,3,1,0.0029293864499777555,5699
1356580,1,1,3,2,3,0.0005396237829700112,5699
1356581,1,1,3,2,2,0.0002312673459528014,5699
1356582,1,1,3,2,1,0.00007708911289228126,5699
1356583,1,1,3,1,3,0.000693802023306489,5699
1356584,1,1,3,1,2,0.00007708911289228126,5699
1356585,1,1,3,1,1,0.0007708911434747279,5699
1356586,1,1,2,3,3,0.0005396237829700112,5699
1356587,1,1,2,3,2,0.00007708911289228126,5699
1356588,1,1,2,3,1,0.00007708911289228126,5699
1356589,1,1,2,2,3,0,5699
1356590,1,1,2,2,2,0,5699
1356591,1,1,2,2,1,0,5699
1356592,1,1,2,1,3,0.000693802023306489,5699
1356593,1,1,2,1,2,0.00007708911289228126,5699
1356594,1,1,1,3,3,0.0006167129031382501,5699
1356595,1,1,1,3,2,0.00007708911289228126,5699
1356596,1,1,1,3,1,0.00038544557173736393,5699
1356597,1,1,1,2,3,0.00015417822578456253,5699
1356598,1,1,1,2,2,0,5699
1356599,1,1,1,1,3,0.00007708911289228126,5699
1356600,1,1,1,1,1,0.00007708911289228126,5699
